dataset,size,algorithm,milliseconds
random,36300,merge_sort,3.64502
random,36300,merge_insertion_t15,3.27104
random,36400,merge_sort,3.65899
random,36400,merge_insertion_t15,3.27758
random,36500,merge_sort,3.72704
random,36500,merge_insertion_t15,3.287
random,36600,merge_sort,3.71152
random,36600,merge_insertion_t15,3.27688
random,36700,merge_sort,3.68529
random,36700,merge_insertion_t15,3.35149
random,36800,merge_sort,3.71935
random,36800,merge_insertion_t15,3.30574
random,36900,merge_sort,3.76112
random,36900,merge_insertion_t15,3.32563
random,37000,merge_sort,3.73441
random,37000,merge_insertion_t15,3.31847
random,37100,merge_sort,3.76365
random,37100,merge_insertion_t15,3.33252
random,37200,merge_sort,3.79487
random,37200,merge_insertion_t15,3.36355
random,37300,merge_sort,3.78253
random,37300,merge_insertion_t15,3.37358
random,37400,merge_sort,3.82458
random,37400,merge_insertion_t15,3.43693
random,37500,merge_sort,3.89092
random,37500,merge_insertion_t15,3.40179
random,37600,merge_sort,3.80473
random,37600,merge_insertion_t15,3.40299
random,37700,merge_sort,3.86352
random,37700,merge_insertion_t15,3.40804
random,37800,merge_sort,3.78591
random,37800,merge_insertion_t15,3.41154
random,37900,merge_sort,3.9803
random,37900,merge_insertion_t15,3.41049
random,38000,merge_sort,3.82706
random,38000,merge_insertion_t15,3.54397
random,38100,merge_sort,4.40371
random,38100,merge_insertion_t15,3.75365
random,38200,merge_sort,4.37683
random,38200,merge_insertion_t15,3.99458
random,38300,merge_sort,4.45682
random,38300,merge_insertion_t15,3.84884
random,38400,merge_sort,4.46549
random,38400,merge_insertion_t15,3.8984
random,38500,merge_sort,4.07848
random,38500,merge_insertion_t15,3.7168
random,38600,merge_sort,4.05994
random,38600,merge_insertion_t15,3.50758
random,38700,merge_sort,4.04599
random,38700,merge_insertion_t15,3.50739
random,38800,merge_sort,4.05036
random,38800,merge_insertion_t15,3.5907
random,38900,merge_sort,4.08111
random,38900,merge_insertion_t15,3.60868
random,39000,merge_sort,4.01305
random,39000,merge_insertion_t15,3.55473
random,39100,merge_sort,4.02639
